college_name,choice_code,branch,category_code,percentile,stage,year
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,GNTA,83.65,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,GNTD,81.65,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,GOBC,85.83,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LOPEN,90.18,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LSC,85.76,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LST,76.41,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LNTB,86.24,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LNTC,88.59,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LOBC,88.89,Stage-I,2021
"Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,EWS,89.06,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,GOPEN,88.63,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,GSC,82.76,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,GST,77.18,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,GNTC,85.71,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,GOBC,87.63,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,LOPEN,90.26,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,LOBC,89.47,Stage-I,2021
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,EWS,88.51,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GOPEN,86.32,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GSC,83.26,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GST,71.05,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GNTB,81.42,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GNTC,79.89,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GNTD,80.16,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,GOBC,85.32,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,LOPEN,85.89,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,LSC,82.74,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,LNTA,76.47,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,LNTC,82.58,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,LOBC,85.42,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519120,Civil Engineering,EWS,74.26,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GOPEN,78.94,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GSC,64.72,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GST,74.24,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GNTB,75.12,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GNTC,77.16,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,GOBC,65.0,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,LOPEN,82.0,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,LSC,75.71,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,LOBC,71.31,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110537210,Electronics and Telecommunication Engg,EWS,79.53,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110561220,Mechanical Engineering,GOPEN,71.85,Stage-I,2021
"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110561220,Mechanical Engineering,LOPEN,71.2,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GOPEN,82.74,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GSC,79.95,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GST,67.63,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GNTA,78.84,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GNTC,69.95,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GNTD,74.42,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,GOBC,80.4,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LOPEN,84.21,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LSC,81.37,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LST,80.32,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LNTB,79.0,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LNTC,77.06,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,LOBC,81.79,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110719110,Civil Engineering,EWS,77.42,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,GOPEN,88.17,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,GSC,84.11,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,GNTB,87.37,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,GNTC,85.47,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,GOBC,87.41,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,LOPEN,89.43,Stage-I,2021
